sim_time,gid,Lmax_1s,Lmax_w
6:38:19,6242,65.6,75.6
6:38:19,5958,66,76
6:38:19,5948,59.1,69.1
6:38:19,6042,60.1,70.1
6:38:19,6142,61,71
6:38:19,5841,59.9,69.9
6:38:19,5752,60.3,70.3
6:38:19,4748,59.5,69.5
6:38:19,5746,59.8,69.8
6:38:19,4553,59.3,69.3
6:38:19,4244,59.9,69.9
6:38:19,4549,59.4,69.4
6:38:19,5349,59.7,69.7
6:38:19,4051,59.3,69.3
6:38:19,6548,59.1,69.1
6:38:19,4546,59.4,69.4
6:38:19,5057,66,76
6:38:19,5943,66,76
6:38:19,6245,65.4,75.4
6:38:19,6650,65.3,75.3
6:38:19,5042,66,76
6:38:19,4543,65.4,75.4
6:38:19,4547,65.3,75.3
6:38:19,5844,65.8,75.8
6:38:29,6556,66,76
6:38:29,4845,60.4,70.4
6:38:29,4652,66,76
6:38:29,6242,66,76
6:38:29,6058,65.5,75.5
6:38:29,5948,59.1,69.1
6:38:29,6041,59.8,69.8
6:38:29,6142,60,70
6:38:29,5741,62.8,72.8
6:38:29,5652,60.2,70.2
6:38:29,4747,59.3,69.3
6:38:29,5746,60.3,70.3
6:38:29,4554,59.6,69.6
6:38:29,4244,60.3,70.3
6:38:29,4650,59,69
6:38:29,5449,61.5,71.5
6:38:29,4944,59.9,69.9
6:38:29,4051,59.1,69.1
6:38:29,6548,59.1,69.1
6:38:29,4446,59.5,69.5
6:38:29,5157,64.1,74.1
6:38:29,6043,65.5,75.5
6:38:29,6245,59.6,69.6
6:38:29,6650,65.3,75.3
6:38:29,5042,66,76
6:38:29,4543,65.4,75.4
6:38:29,4547,65.1,75.1
6:38:29,5844,65.7,75.7
6:38:40,6655,66,76
6:38:40,4845,59.7,69.7
6:38:40,4652,66,76
6:38:40,6241,65.3,75.3
6:38:40,6059,66,76
6:38:40,6047,59.3,69.3
6:38:40,5941,59.6,69.6
6:38:40,6041,59.9,69.9
6:38:40,5641,65.5,75.5
6:38:40,5552,59.8,69.8
6:38:40,4746,59.6,69.6
6:38:40,5745,59.8,69.8
6:38:40,4654,66,76
6:38:40,4345,59.7,69.7
6:38:40,4550,59,69
6:38:40,5450,64.4,74.4
6:38:40,5044,61.1,71.1
6:38:40,4152,59.2,69.2
6:38:40,6448,59.1,69.1
6:38:40,4447,59.4,69.4
6:38:40,5156,64.4,74.4
6:38:40,6042,65.6,75.6
6:38:40,6245,59.7,69.7
